,Text,Date,Year,hashtag,Cleaned
84,After @narendramodi  #MannKiBaat Sonia  Gandhi's  Man ki Pyaas  Jal Bin Machhli Nritya Bin Bijli - (…: http://t.co/LNXhzTGPdI,2014-10-03,2014,['MannKiBaat'],after sonia gandhis pyaas machhli nritya bijli
85,The last PM who spoke on #AIR was #IndiraGandhi. #MannKiBaat of @narendramodi made me to edify myself with some common unchecked facts.,2014-10-03,2014,"['AIR', 'IndiraGandhi', 'MannKiBaat']",last spoke made edify myself with some common unchecked facts
86,What a beautiful inspiring story told by MY PM #MannkiBaat #PMONAIR @airnewsalerts,2014-10-03,2014,"['MannkiBaat', 'PMONAIR']",what beautiful inspiring story told
87,"Thank you MR.PrimeMinister आज आकाशवाणी फिर से जीवित हो गयी.
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],thank mrprimeminister
88,"#mannkibaat 
5. Khade ho aur chalne ka sankalp karo, duniya tabhi saath degi.
6. Desh ki takat 
    A. Kisano mein
    B. Garib ki jhopdi me",2014-10-03,2014,['mannkibaat'],khade chalne sankalp karo duniya tabhi saath degi desh takat kisano mein garib jhopdi
89,Respect @narendramodi very nice initiative of reaching out on radio. a lot said that was never said bt shd have been said by PM #mannkibaat,2014-10-03,2014,['mannkibaat'],respect very nice initiative reaching radio said that never said have been said
90,This guy is too active... twitter fb news channel and now radio... #mannkibaat #SwachhBharat #pmindia... all the best #respect,2014-10-03,2014,"['mannkibaat', 'SwachhBharat', 'pmindia', 'respect']",this active twitter news channel radio best
91,"#mannkibaat
3. Recites story of sher ka bacha
4. Samarthya pehchano, aatma samaan pehchano",2014-10-03,2014,['mannkibaat'],recites story sher bacha samarthya pehchano aatma samaan pehchano
92,"PM's #vijayadashami Speech was short, to the point &amp; guess came from the heart! #HappyDussehra @narendramodi #MannKiBaat",2014-10-03,2014,"['vijayadashami', 'HappyDussehra', 'MannKiBaat']",speech short point guess came from heart
93,Truly remarkable Speech. I guess today AIR broke all records of TRP :p #mannkibaat #NaMo,2014-10-03,2014,"['mannkibaat', 'NaMo']",truly remarkable speech guess today broke records
94,Thank you @narendramodi for choosing Radio! Great start #MannKiBaat #AllIndiaRadio #AIR,2014-10-03,2014,"['MannKiBaat', 'AllIndiaRadio', 'AIR']",thank choosing radio great start
95,"With @narendramodi ji earmarking the Sunday 11AM slot for #MannKiBaat series, it will clash with @aamir_khan 's #SatyamevJayate ! #MumkinHai",2014-10-03,2014,"['MannKiBaat', 'SatyamevJayate', 'MumkinHai']",with earmarking sunday slot series will clash with
97,"#mannkibaat
1. PM will engage on 1 or 2 sundays at 11am in month.. 
2. We all should buy atleast 1 khaadi cloth, will help weavers",2014-10-03,2014,['mannkibaat'],will engage sundays month should atleast khaadi cloth will help weavers
98,A good initiative ! #MannKiBaat by @narendramodi,2014-10-03,2014,['MannKiBaat'],good initiative
99,"Listening #PM#mannKiBaat#radio",2014-10-03,2014,"['PM', 'mannKiBaat', 'radio']",listening
100,"@narendramodi @PMOIndia  No No sir , not on a sunday at 11 , we'll miss @satyamevjayate :P :P :P #AllIndiaRadio #MannkiBaat  #AIR",2014-10-03,2014,"['AllIndiaRadio', 'MannkiBaat', 'AIR']",sunday well miss
101,Don't remember in my life time any PM connected in the manner PM @narendramodi is doing right now. #mannkibaat @drumamehta @PathanAsmakhan,2014-10-03,2014,['mannkibaat'],dont remember life time connected manner doing right
102,Narendra modi's live #radio show. Super cool. Leveraging benefit of every medium. #MannKiBaat #VividhBharti,2014-10-03,2014,"['radio', 'MannKiBaat', 'VividhBharti']",narendra modis live show super cool leveraging benefit every medium
105,Ganesh Venkaradari from Mumbai famous ho gaye #Radio #MannKiBaat,2014-10-03,2014,"['Radio', 'MannKiBaat']",ganesh venkaradari from mumbai famous gaye
106,My Prime Minister on Radio.. #MannKiBaat,2014-10-03,2014,['MannKiBaat'],prime minister radio
107,Now Listening @airnewsalerts #MannKiBaat at 106.4FM,2014-10-03,2014,['MannKiBaat'],listening
108,All set to listen our beloved &amp; respected PM @narendramodi  Great start to #Vijayadashmi #Mannkibaat @vgopss @vallabh86,2014-10-03,2014,"['Vijayadashmi', 'Mannkibaat']",listen beloved respected great start
109,PM #NarendraModi to share his #MannKibaat on All India Radio at 11 am today http://t.co/CcSk2GiwEq,2014-10-03,2014,"['NarendraModi', 'MannKibaat']",share india radio today
110,Modivaani on aakashvaani... PM @narendramodi ki #MannKiBaat Aakashvaani ke saath on #AllIndiaRadio at 11am,2014-10-03,2014,"['MannKiBaat', 'AllIndiaRadio']",modivaani aakashvaani aakashvaani saath
111,"#NarendraModi debuts on #AIR: On #Dussehra, #MannKiBaat http://t.co/2blMtnJtv8  #BoycottHaider #MyCleanIndia #HappyDussehra",2014-10-03,2014,"['NarendraModi', 'AIR', 'Dussehra', 'MannKiBaat', 'BoycottHaider', 'MyCleanIndia', 'HappyDussehra']",debuts
112,At least today people won't get to see saffronisation but to hear it. #MannkiBaat,2014-10-03,2014,['MannkiBaat'],least today people wont saffronisation hear
113,Would #MannkiBaat help to revive reach of radio or would it mere be a political speech.,2014-10-03,2014,['MannkiBaat'],would help revive reach radio would mere political speech
114,"Sorry, don't have a radio here to hear you Mr PM. #MannkiBaat",2014-10-03,2014,['MannkiBaat'],sorry dont have radio here hear
115,"The 1.25 billion population will get to hear Modi from AIR, why not the oath ceremony? #MannkiBaat",2014-10-03,2014,['MannkiBaat'],billion population will hear modi from oath ceremony
116,Live Streaming #NarendraModi’s Speech- #MannKiBaat on #AllIndiaRadio http://t.co/vfSxR4x7P7  #BoycottHaider #HappyDussehra #MyCleanIndia,2014-10-03,2014,"['NarendraModi', 'MannKiBaat', 'AllIndiaRadio', 'BoycottHaider', 'HappyDussehra', 'MyCleanIndia']",live streaming speech
118,"#MannKiBaat
Listen to #NaMo
TODAY
11 AM
@airnewsalerts 
Please share http://t.co/iSwKo18tpD",2014-10-03,2014,"['MannKiBaat', 'NaMo']",please share
119,Listen to #Mannkibaat at 11am on #94.3MYFM all 17 stations. @943MYFM @narendramodi,2014-10-03,2014,"['Mannkibaat', '94']",listen myfm stations
120,#mannkibaat humare prime minister Narendra Modi ko suniye aaj 11 baje se @94.3 My Fm par.. stay tuned,2014-10-03,2014,['mannkibaat'],humare prime minister narendra modi suniye baje stay tuned
123,#MannKiBaat listened part-2 today. A little late though. But PM's promise to get #BlackMoney back is very reassuring. #NaMo @narendramodi,2014-11-10,2014,"['MannKiBaat', 'BlackMoney', 'NaMo']",listened part today little late though promise back very reassuring
124,"Indians take to letter writing as #Modi's radio addresses, #MannKiBaat, touches popular chord.Up to 5k letters a day. http://t.co/PnknBByTYJ",2014-11-10,2014,"['Modi', 'MannKiBaat']",indians take letter writing radio addresses touches popular chordup letters
126,"@narendramodi @NeilSomaiya @PMOIndia #MannKiBaat Mumbai has seen 2,600 rail deaths in just 9 months http://t.co/30tiRPICkF",2014-11-09,2014,['MannKiBaat'],mumbai seen rail deaths just months
